Witness,CPA-w2t,CPAchecker,FShell-w2t,MetaVal,NITWIT,Symb.-Witch,Ult. Auto.
706,0,0,0,2,0,0,0
707,0,0,0,2,0,0,0
708,0,0,0,2,0,0,0
709,0,0,0,2,0,0,0
710,0,0,0,2,0,0,0
711,0,0,0,2,0,0,0
712,0,0,0,2,0,0,0
713,0,0,0,2,0,0,0
714,0,0,0,2,0,0,0
715,0,0,0,2,0,0,0
716,0,0,0,2,0,0,0
717,0,0,0,2,0,0,0
718,0,0,0,2,0,0,0
719,1,2,2,2,0,3,2
720,1,2,2,2,0,3,3
721,1,2,2,2,0,3,3
722,1,2,2,2,0,3,3
723,1,2,2,2,0,3,3
724,1,2,2,2,0,3,2
725,0,0,0,2,0,0,0
726,0,0,0,2,0,0,0
727,1,2,2,2,0,3,3
728,0,0,0,2,0,0,0
729,0,0,0,2,0,0,0
730,1,2,2,2,0,3,3
731,3,3,3,5,3,4,3
732,3,3,3,5,3,4,3
733,3,3,3,5,3,4,3
734,3,3,3,5,3,4,3
735,3,3,3,5,3,4,5
736,3,3,3,5,3,4,5
737,3,3,3,5,3,4,5
738,3,3,3,5,3,4,5
739,4,4,3,4,4,4,3
740,3,3,3,5,3,4,5
741,3,3,3,5,3,4,3
742,1,0,0,3,1,4,0
743,1,0,0,3,1,4,0
744,1,3,0,3,1,4,3
745,1,3,0,3,1,4,3
746,1,3,0,3,1,4,3
747,0,3,0,3,1,0,2
748,0,3,0,3,1,0,2
749,0,3,0,3,1,0,2
750,0,3,0,3,1,0,2
751,0,3,0,3,1,0,2
752,0,3,0,3,1,0,2
753,0,3,0,3,1,0,2
754,0,3,0,3,1,0,2
755,0,3,0,3,1,0,2
756,0,3,0,3,1,0,2
757,0,3,0,3,1,0,2
758,0,3,0,4,1,0,2
759,0,3,0,4,1,0,2
760,0,0,0,4,1,0,2
761,0,0,0,3,1,0,2
762,0,0,0,3,1,0,2
763,0,0,0,3,0,0,2
764,0,0,0,3,0,0,2
765,0,0,0,3,0,0,2
766,0,0,0,3,0,0,2
767,0,0,0,3,0,0,2
768,0,0,0,3,0,0,2
769,0,0,0,3,0,0,2
770,0,0,0,3,0,0,2
771,0,0,0,2,0,0,2
772,0,0,0,2,0,0,2
773,0,1,0,2,0,0,2
774,0,1,0,2,0,0,2
775,0,0,0,2,0,0,0
776,0,0,0,2,0,0,0
777,0,1,0,2,0,0,2
778,0,1,0,3,0,0,2
779,0,0,0,2,0,0,2
780,0,0,0,2,0,0,2
781,0,1,0,3,0,0,2
782,0,1,0,3,0,0,2
783,0,0,0,2,0,0,2
784,0,0,0,2,0,0,2
785,0,0,0,2,0,0,2
786,0,0,0,2,0,0,2
787,0,0,0,2,0,0,2
788,0,0,0,2,0,0,2
789,0,0,0,3,0,0,2
790,0,0,0,2,0,0,2
791,0,0,0,2,0,0,2
792,0,0,0,3,0,0,2
793,0,0,0,2,0,0,2
794,0,0,0,2,0,0,2
795,0,0,0,2,0,0,2
796,0,0,0,2,0,0,2
797,0,0,0,2,0,0,2
798,0,0,0,2,0,0,2
